kind,name,path,expected_sha256,expected_size_bytes,notes
input,raw_input_bag,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/floor01_canonical_raw_inputs.bag",6383fdbdad0e3f8375069b33cc552ed069dafb91aec88f1673bc043e0f314e0b,413681649,Same official raw bag used by both Run A pipelines
input,legacy_ndt_runA,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/runA/ndt_determinism.csv",7b6aa71d161480fbd0f03fe395317688869dd40d3d36363f03a1194a8826e307,6914073,R7H formal Run A detailed NDT result
input,legacy_frames_runA,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/floor01_runA_frames.csv",7b6db29b45f2a84bc135e6661c2c4ccb3dfaaa05743a5b6864651a5f70dc62a1,11459411,R7H formal Run A consolidated frame result
input,legacy_adapter_runA,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/runA/adapter_diagnostics.csv",6365b0d4255ad00b2baf7ece160d5f652f72a853f98ccab5ee824ddb95082fe3,1130533,R7H formal Run A external CV adapter diagnostics
input,legacy_effective_params,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/runA/effective_params.yaml",a8047125cbf57224351d8ef4344fd46e87466eb198c6b8bd13c0edbbe1680dad,1713,R7H Run A dumped effective ROS parameters
input,legacy_ndt_node_log,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/runA/ndt_node.log",546890324776dcd25cda61d2b3616814c453acedba6c60a6d195ab0df43c5056,69663,R7H Run A actual NDT startup/map/target log
input,legacy_adapter_launch,"/home/jian/livox_ws/superloc_adapter_ws/src/superloc_corridor_adapter/launch/p3_r7h_floor01_closed_loop.launch",23e5ccfe1b94e3ca010e0456e3af3716dbd679b3fd707533b38e78bf0a052671,2259,R7H adapter launch recorded by formal runtime provenance; contains independent Floor01 extrinsic values
input,legacy_adapter_launch_log,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/runA/adapter_launch.log",6ca2f1d730ee4ad14d2b6dad9edb202dc2e51d19a38234d8cd9cf2939c9c9fa5,9606,R7H Run A launch transcript; identifies launch and logs effective translation
input,legacy_runtime_provenance,"/media/jian/HIKVISION/paper rosbag/SuperLoc/Floor01/results/p3_r7_floor01_full_baseline/floor01_runtime_provenance.md",03cd228e6c6bde27580468dc4774e3bec4b52f67fbaf11efd31894277cde904a,7285,R7H recorded map/calibration/NDT source and adapter-launch provenance hashes
input,mature_ndt_runA,"/media/jian/HIKVISION/paper rosbag/imu_deskew_experiments/p3_r9b/full_runA/ndt.csv",2fdb019dea039d45c7cbb5ed19ee41b9e8687538b9914e8229e635a0f35c562a,6959235,R9B formal full Run A detailed NDT result; do not use Run B
